,person_age,person_income,person_home_ownership,person_emp_length,loan_intent,loan_grade,loan_amnt,loan_int_rate,loan_status,loan_percent_income,cb_person_default_on_file,cb_person_cred_hist_length
474,25,18000,MORTGAGE,1.0,MEDICAL,B,4000,,1,0.22,N,3
475,21,18000,OWN,5.0,VENTURE,B,3375,,1,0.19,N,2
477,22,43385,RENT,7.0,PERSONAL,C,23000,,1,0.53,N,3
478,25,56544,RENT,3.0,EDUCATION,B,23000,,1,0.41,N,2
485,25,80000,RENT,9.0,VENTURE,C,23000,,0,0.29,N,2
504,22,66000,RENT,1.0,EDUCATION,F,22000,,1,0.33,N,2
510,24,80000,RENT,0.0,MEDICAL,A,22000,,0,0.28,N,4
519,23,110000,RENT,0.0,PERSONAL,B,22000,,0,0.2,N,3
540,26,19200,OWN,0.0,EDUCATION,B,9250,,1,0.48,N,2
545,23,19200,MORTGAGE,7.0,MEDICAL,A,3000,,1,0.16,N,4
547,25,19200,OWN,2.0,VENTURE,B,1000,,0,0.05,N,3
564,26,97000,RENT,3.0,EDUCATION,C,21000,,0,0.22,Y,3
590,21,36000,RENT,5.0,MEDICAL,D,20000,,1,0.56,Y,2
595,23,20000,MORTGAGE,7.0,EDUCATION,C,3625,,0,0.18,Y,3
600,24,45000,RENT,8.0,MEDICAL,E,20000,,1,0.44,N,2
616,24,50866,RENT,6.0,MEDICAL,B,20000,,1,0.39,N,3
628,24,52559,RENT,9.0,HOMEIMPROVEMENT,B,20000,,1,0.38,N,3
642,25,55200,RENT,7.0,VENTURE,B,20000,,1,0.36,N,4
647,26,20004,MORTGAGE,4.0,HOMEIMPROVEMENT,B,3600,,0,0.18,N,2
654,21,20245,OWN,5.0,VENTURE,A,3550,,0,0.18,N,4
659,24,60000,RENT,8.0,VENTURE,A,20000,,1,0.33,N,4
663,25,60000,RENT,2.0,EDUCATION,B,20000,,1,0.33,N,2
666,25,60000,RENT,9.0,EDUCATION,B,20000,,1,0.33,N,3
679,22,20400,OWN,0.0,DEBTCONSOLIDATION,D,3800,,0,0.19,Y,3
693,26,59000,RENT,3.0,PERSONAL,C,20000,,1,0.34,N,4
709,25,64000,RENT,0.0,HOMEIMPROVEMENT,E,20000,,1,0.31,N,4
721,25,75000,RENT,8.0,DEBTCONSOLIDATION,B,20000,,0,0.27,N,4
722,21,21216,MORTGAGE,5.0,HOMEIMPROVEMENT,D,4500,,1,0.21,Y,2
726,26,75000,RENT,3.0,EDUCATION,A,20000,,0,0.27,N,3
729,22,75000,RENT,2.0,VENTURE,C,20000,,0,0.27,N,2
730,21,21600,MORTGAGE,6.0,PERSONAL,A,7575,,0,0.35,N,3
746,22,21600,MORTGAGE,6.0,VENTURE,C,1400,,0,0.06,N,2
747,123,78000,RENT,7.0,VENTURE,B,20000,,0,0.26,N,4
750,24,72000,RENT,6.0,DEBTCONSOLIDATION,D,20000,,1,0.28,Y,4
769,22,82000,RENT,6.0,EDUCATION,C,20000,,0,0.24,Y,2
784,25,85000,RENT,4.0,HOMEIMPROVEMENT,B,20000,,0,0.24,N,2
785,24,21948,MORTGAGE,2.0,VENTURE,D,4000,,0,0.18,N,2
788,22,90000,RENT,5.0,PERSONAL,B,20000,,0,0.22,N,4
798,22,22000,MORTGAGE,3.0,VENTURE,A,6500,,0,0.3,N,4
805,22,94500,RENT,2.0,PERSONAL,B,20000,,0,0.21,N,2
806,23,83000,RENT,7.0,DEBTCONSOLIDATION,C,20000,,1,0.24,N,2
808,24,95000,RENT,4.0,HOMEIMPROVEMENT,D,20000,,0,0.21,Y,3
823,25,22000,OWN,0.0,VENTURE,E,7500,,0,0.34,Y,3
824,23,22080,MORTGAGE,3.0,EDUCATION,A,6700,,0,0.3,N,4
833,25,108000,RENT,0.0,HOMEIMPROVEMENT,C,20000,,0,0.19,N,4
834,25,96901,RENT,3.0,PERSONAL,C,20000,,1,0.21,N,3
839,23,110000,RENT,2.0,VENTURE,B,20000,,0,0.18,N,2
872,25,23000,MORTGAGE,4.0,PERSONAL,C,10000,,1,0.43,Y,2
892,21,23040,OWN,1.0,VENTURE,D,5000,,0,0.22,N,3
904,25,52000,RENT,5.0,MEDICAL,B,19000,,1,0.37,N,4
907,25,54000,RENT,8.0,DEBTCONSOLIDATION,C,19000,,1,0.35,Y,4
908,22,54000,RENT,6.0,VENTURE,A,19000,,1,0.35,N,4
920,26,50000,RENT,10.0,PERSONAL,B,18950,,1,0.38,N,3
979,22,48000,RENT,5.0,EDUCATION,B,18000,,1,0.38,N,2
990,22,52000,RENT,6.0,EDUCATION,C,18000,,1,0.35,N,4
1003,25,58000,RENT,6.0,VENTURE,C,18000,,1,0.31,N,4
1016,25,65000,RENT,8.0,VENTURE,A,18000,,0,0.28,N,3
1019,25,65000,RENT,8.0,HOMEIMPROVEMENT,C,18000,,0,0.28,N,3
1032,23,73500,RENT,7.0,EDUCATION,A,18000,,0,0.24,N,2
1045,23,82000,RENT,7.0,MEDICAL,A,18000,,0,0.22,N,2
1071,26,130000,RENT,2.0,PERSONAL,A,17950,,0,0.14,N,2
1084,24,71480,RENT,8.0,HOMEIMPROVEMENT,F,17600,,0,0.25,N,4
1128,23,24996,OWN,1.0,PERSONAL,D,4575,,0,0.18,Y,2
1135,24,52500,RENT,3.0,HOMEIMPROVEMENT,B,17000,,1,0.32,N,3
1137,26,25000,OWN,0.0,VENTURE,C,7400,,0,0.3,N,2
1167,24,55000,RENT,8.0,MEDICAL,B,16800,,1,0.31,N,4
1188,23,54000,RENT,7.0,VENTURE,C,16750,,1,0.31,N,4
1195,26,47000,RENT,0.0,MEDICAL,A,16500,,1,0.35,N,4
1207,22,27600,RENT,2.0,DEBTCONSOLIDATION,B,16300,,1,0.59,N,4
1217,24,35500,RENT,3.0,PERSONAL,A,16000,,1,0.45,N,4
1219,21,25000,MORTGAGE,4.0,VENTURE,C,2800,,0,0.11,Y,3
1242,24,25000,MORTGAGE,1.0,MEDICAL,A,6500,,0,0.26,N,4
1269,24,54000,RENT,6.0,DEBTCONSOLIDATION,A,16000,,0,0.3,N,4
1271,25,49000,RENT,2.0,DEBTCONSOLIDATION,C,16000,,1,0.33,N,4
1272,22,55000,RENT,6.0,VENTURE,C,16000,,0,0.29,Y,3
1276,25,58000,RENT,9.0,PERSONAL,A,16000,,0,0.28,N,2
1285,22,61000,RENT,3.0,VENTURE,C,16000,,0,0.26,Y,2
1319,26,26000,MORTGAGE,4.0,HOMEIMPROVEMENT,B,12000,,0,0.46,N,3
1320,26,75000,RENT,1.0,VENTURE,B,16000,,0,0.21,N,2
1332,23,26000,MORTGAGE,0.0,HOMEIMPROVEMENT,E,10000,,1,0.38,Y,3
1354,21,30000,RENT,0.0,DEBTCONSOLIDATION,A,1000,,0,0.03,N,3
1365,21,26004,OWN,5.0,VENTURE,A,7500,,0,0.29,N,2
1372,22,35000,RENT,4.0,VENTURE,C,1000,,0,0.03,Y,3
1387,23,38400,RENT,6.0,EDUCATION,B,1000,,0,0.03,N,3
1388,22,26400,MORTGAGE,,HOMEIMPROVEMENT,A,1550,,1,0.06,N,2
1395,22,26400,MORTGAGE,,PERSONAL,B,1000,,1,0.04,N,2
1430,23,38000,RENT,0.0,DEBTCONSOLIDATION,A,1075,,0,0.03,N,3
1445,22,26886,OWN,6.0,EDUCATION,C,7500,,0,0.28,Y,4
1484,24,27000,MORTGAGE,7.0,EDUCATION,B,10000,,0,0.37,N,2
1489,22,27000,MORTGAGE,1.0,EDUCATION,B,12000,,1,0.44,N,3
1496,23,60000,RENT,7.0,DEBTCONSOLIDATION,B,1200,,0,0.02,N,3
1517,23,27350,MORTGAGE,5.0,VENTURE,B,1925,,0,0.07,N,3
1523,23,27500,MORTGAGE,7.0,EDUCATION,B,6300,,0,0.23,N,3
1537,24,125000,RENT,1.0,HOMEIMPROVEMENT,C,1400,,0,0.01,Y,4
1539,24,21600,RENT,0.0,MEDICAL,A,1450,,0,0.07,N,3
1549,24,27600,OWN,2.0,MEDICAL,D,10000,,0,0.36,N,2
1550,22,28500,RENT,1.0,EDUCATION,B,1500,,0,0.05,N,4
1584,24,35000,RENT,9.0,EDUCATION,A,1500,,0,0.04,N,3
1606,26,28000,MORTGAGE,8.0,PERSONAL,A,4500,,1,0.16,N,2
1608,21,41004,RENT,5.0,EDUCATION,B,1500,,0,0.04,N,3
1625,24,50400,RENT,8.0,DEBTCONSOLIDATION,A,1500,,0,0.03,N,4
1640,25,57000,RENT,9.0,HOMEIMPROVEMENT,C,1500,,0,0.03,N,3
1651,23,28296,MORTGAGE,,PERSONAL,B,7000,,0,0.25,N,4
1652,26,96000,RENT,4.0,PERSONAL,D,1500,,0,0.02,Y,2
1653,23,155004,RENT,4.0,MEDICAL,C,1500,,0,0.01,N,3
1660,22,21600,RENT,6.0,PERSONAL,D,1600,,0,0.07,Y,4
1686,26,22000,RENT,2.0,MEDICAL,B,1750,,0,0.08,N,3
1698,23,28800,MORTGAGE,,MEDICAL,A,10625,,0,0.37,N,2
1702,22,28800,MORTGAGE,0.0,VENTURE,B,11500,,0,0.4,N,3
1712,22,28800,OWN,2.0,PERSONAL,A,2000,,0,0.07,N,2
1731,24,28800,MORTGAGE,5.0,DEBTCONSOLIDATION,C,5500,,0,0.19,Y,3
1739,26,19392,RENT,7.0,DEBTCONSOLIDATION,C,1900,,0,0.1,Y,3
1748,24,28932,MORTGAGE,4.0,PERSONAL,C,10000,,0,0.35,Y,2
1753,21,14000,RENT,0.0,MEDICAL,A,2000,,0,0.14,N,4
1778,21,20000,RENT,0.0,MEDICAL,A,2000,,0,0.1,N,3
1792,24,24000,RENT,8.0,MEDICAL,B,2000,,0,0.08,N,3
1864,24,120000,RENT,5.0,MEDICAL,A,15000,,0,0.13,N,3
1865,23,121000,RENT,7.0,MEDICAL,B,15000,,0,0.12,N,2
1867,25,125000,RENT,0.0,VENTURE,A,15000,,0,0.12,N,3
1904,23,30000,MORTGAGE,0.0,VENTURE,B,13000,,0,0.43,N,2
1907,22,33000,RENT,1.0,DEBTCONSOLIDATION,A,2000,,0,0.06,N,3
1909,24,40000,RENT,5.0,MEDICAL,B,2000,,0,0.05,N,4
1911,22,50400,RENT,3.0,VENTURE,B,2000,,0,0.04,N,4
1916,25,30000,OWN,9.0,VENTURE,D,7000,,0,0.23,N,3
1933,26,67000,RENT,6.0,EDUCATION,C,2000,,0,0.03,N,4
1940,22,70028,RENT,7.0,VENTURE,B,2000,,0,0.03,N,3
1945,24,76248,RENT,8.0,EDUCATION,B,2000,,0,0.03,N,3
1952,23,80004,RENT,0.0,PERSONAL,A,2000,,0,0.02,N,3
1963,23,30000,MORTGAGE,6.0,PERSONAL,C,2400,,0,0.08,N,4
1973,23,33600,RENT,0.0,DEBTCONSOLIDATION,B,2100,,0,0.06,N,3
1983,25,30000,OWN,9.0,VENTURE,A,10000,,0,0.33,N,2
1986,25,80000,RENT,9.0,PERSONAL,A,2100,,0,0.03,N,4
1987,23,87000,RENT,4.0,EDUCATION,C,2100,,0,0.02,N,2
1992,22,17772,RENT,0.0,MEDICAL,A,2150,,0,0.12,N,4
1995,21,30000,MORTGAGE,5.0,VENTURE,B,6400,,0,0.21,N,3
1998,24,30000,MORTGAGE,,DEBTCONSOLIDATION,A,3075,,0,0.1,N,4
2014,22,40000,RENT,6.0,EDUCATION,B,14000,,1,0.35,N,4
2024,22,41000,RENT,5.0,VENTURE,A,14000,,1,0.34,N,3
2026,21,12000,RENT,0.0,DEBTCONSOLIDATION,C,2200,,1,0.18,N,3
2027,21,15000,RENT,4.0,EDUCATION,D,2200,,0,0.15,Y,4
2030,24,22000,RENT,,MEDICAL,A,2200,,0,0.1,N,3
2113,22,35000,RENT,1.0,EDUCATION,C,2400,,0,0.07,Y,2
2128,25,30000,MORTGAGE,9.0,VENTURE,A,3000,,0,0.1,N,4
2143,23,30000,MORTGAGE,0.0,MEDICAL,D,8000,,1,0.27,Y,3
2161,26,70000,RENT,0.0,EDUCATION,C,2400,,0,0.03,Y,3
2165,26,95000,RENT,0.0,VENTURE,A,2400,,0,0.03,N,3
2168,26,16000,RENT,1.0,VENTURE,D,2450,,1,0.15,Y,2
2201,24,35000,RENT,8.0,MEDICAL,B,13400,,1,0.38,N,3
2211,22,33300,RENT,0.0,DEBTCONSOLIDATION,B,13250,,1,0.4,N,4
2215,25,40000,RENT,9.0,PERSONAL,D,13250,,1,0.33,N,3
2221,23,44248,RENT,,EDUCATION,A,13200,,0,0.3,N,2
2227,22,62000,RENT,5.0,VENTURE,A,13200,,0,0.21,N,4
2232,25,31000,OWN,8.0,PERSONAL,A,12000,,0,0.39,N,3
2239,24,135000,RENT,8.0,PERSONAL,A,13050,,0,0.1,N,3
2261,23,31000,MORTGAGE,6.0,EDUCATION,B,18500,,0,0.6,N,4
2264,23,38000,RENT,4.0,EDUCATION,D,13000,,1,0.34,N,4
2284,24,46540,RENT,5.0,VENTURE,D,13000,,0,0.28,Y,2
2304,25,31200,MORTGAGE,0.0,EDUCATION,E,4750,,1,0.15,N,2
2315,26,31303,MORTGAGE,7.0,MEDICAL,A,12000,,0,0.38,N,2
2316,22,31356,MORTGAGE,6.0,DEBTCONSOLIDATION,D,11225,,1,0.36,Y,2
2344,24,29000,RENT,2.0,MEDICAL,D,2500,,1,0.09,N,4
2348,25,31920,MORTGAGE,8.0,MEDICAL,C,4500,,0,0.14,Y,2
2350,26,37225,RENT,4.0,PERSONAL,C,2500,,0,0.07,N,3
2351,26,31992,OTHER,0.0,VENTURE,A,6500,,0,0.2,N,4
2358,23,40000,RENT,0.0,DEBTCONSOLIDATION,B,2500,,0,0.06,N,2
2370,21,42500,RENT,0.0,DEBTCONSOLIDATION,B,2500,,0,0.06,N,2
2386,23,51873,RENT,2.0,VENTURE,A,2500,,0,0.05,N,3
2396,22,55000,RENT,5.0,EDUCATION,B,2500,,0,0.05,N,4
2397,23,49000,RENT,1.0,DEBTCONSOLIDATION,F,2500,,1,0.05,N,2
2401,22,60000,RENT,5.0,DEBTCONSOLIDATION,C,2500,,0,0.04,Y,4
2437,23,23760,RENT,2.0,DEBTCONSOLIDATION,B,2800,,0,0.12,N,2
2442,22,32000,MORTGAGE,2.0,MEDICAL,C,7500,,0,0.23,Y,3
2463,22,31500,RENT,3.0,DEBTCONSOLIDATION,D,2900,,1,0.09,N,4
2475,23,13200,RENT,0.0,DEBTCONSOLIDATION,C,3000,,1,0.23,N,3
2482,26,14400,RENT,1.0,VENTURE,B,3000,,1,0.21,N,2
2493,26,17280,RENT,0.0,HOMEIMPROVEMENT,C,3000,,1,0.17,N,4
2499,22,32400,MORTGAGE,1.0,DEBTCONSOLIDATION,A,5500,,0,0.17,N,2
2507,22,18000,RENT,2.0,VENTURE,B,3000,,1,0.17,N,2
2521,22,19200,RENT,0.0,HOMEIMPROVEMENT,E,3000,,1,0.16,Y,3
2524,24,20004,RENT,3.0,VENTURE,C,3000,,0,0.15,N,4
2538,22,30000,RENT,6.0,MEDICAL,B,3000,,0,0.1,N,4
2553,25,30000,RENT,4.0,MEDICAL,B,3000,,0,0.1,N,4
2585,22,35000,RENT,0.0,EDUCATION,B,3000,,0,0.09,N,2
2599,25,31000,RENT,1.0,HOMEIMPROVEMENT,B,3000,,1,0.1,N,4
2616,21,40000,RENT,0.0,VENTURE,A,3000,,0,0.07,N,3
2637,24,33390,MORTGAGE,4.0,HOMEIMPROVEMENT,A,10000,,0,0.3,N,4
2641,26,39000,RENT,11.0,EDUCATION,C,3000,,1,0.08,Y,2
2643,22,45000,RENT,2.0,EDUCATION,A,3000,,0,0.07,N,3
2646,23,33600,MORTGAGE,3.0,MEDICAL,A,4200,,0,0.13,N,3
2647,24,39996,RENT,2.0,EDUCATION,C,3000,,1,0.08,Y,3
2652,25,46250,RENT,2.0,MEDICAL,A,3000,,0,0.06,N,3
2656,25,33600,OWN,9.0,VENTURE,A,9750,,0,0.29,N,3
2659,24,42000,RENT,9.0,DEBTCONSOLIDATION,E,3000,,1,0.07,Y,3
2661,25,48000,RENT,2.0,DEBTCONSOLIDATION,A,3000,,0,0.06,N,4
2676,23,50000,RENT,6.0,EDUCATION,C,3000,,0,0.06,Y,2
2689,25,48600,RENT,0.0,MEDICAL,A,12000,,0,0.25,N,4
2701,26,50000,RENT,1.0,VENTURE,B,12000,,0,0.24,N,4
2713,23,44000,RENT,2.0,MEDICAL,D,12000,,1,0.27,N,4
2721,25,50400,RENT,7.0,DEBTCONSOLIDATION,B,12000,,0,0.24,N,3
2727,22,45449,RENT,6.0,MEDICAL,B,12000,,1,0.26,N,4
2746,23,54000,RENT,7.0,PERSONAL,C,12000,,0,0.22,Y,3
2767,24,34000,OWN,8.0,VENTURE,C,10000,,0,0.29,Y,3
2771,22,55555,RENT,7.0,EDUCATION,E,12000,,0,0.22,N,4
2782,23,57000,RENT,0.0,EDUCATION,C,12000,,0,0.21,N,4
2802,24,52000,RENT,3.0,MEDICAL,A,3000,,0,0.06,N,2
2807,21,53000,RENT,3.0,EDUCATION,D,3000,,0,0.06,N,4
2809,22,54000,RENT,2.0,MEDICAL,A,3000,,0,0.06,N,4
2819,26,55000,RENT,1.0,DEBTCONSOLIDATION,C,3000,,0,0.05,N,2
2825,24,50000,RENT,3.0,MEDICAL,C,3000,,1,0.06,N,2
2838,21,35000,OWN,5.0,VENTURE,B,10000,,0,0.29,N,4
2848,23,35000,OWN,2.0,VENTURE,B,14000,,0,0.4,N,3
2856,25,35000,MORTGAGE,9.0,DEBTCONSOLIDATION,A,7000,,0,0.2,N,2
2862,26,64000,RENT,2.0,MEDICAL,A,3000,,0,0.05,N,4
2890,26,71000,RENT,9.0,MEDICAL,B,3000,,0,0.04,N,4
2893,21,35000,MORTGAGE,6.0,DEBTCONSOLIDATION,B,15000,,0,0.43,N,4
2904,23,75000,RENT,2.0,PERSONAL,A,3000,,0,0.04,N,2
2905,24,75000,RENT,4.0,HOMEIMPROVEMENT,C,3000,,0,0.04,N,4
2909,25,35000,OWN,2.0,MEDICAL,A,6400,,0,0.18,N,2
2921,26,90000,RENT,5.0,MEDICAL,B,3000,,0,0.03,N,4
2925,22,29000,MORTGAGE,5.0,DEBTCONSOLIDATION,B,9000,,1,0.31,N,4
2966,24,35000,MORTGAGE,,MEDICAL,B,7775,,0,0.22,N,2
2972,22,35000,MORTGAGE,3.0,MEDICAL,C,3500,,0,0.1,Y,3
2973,23,18000,RENT,0.0,HOMEIMPROVEMENT,A,3200,,1,0.18,N,4
2988,21,30000,RENT,6.0,PERSONAL,A,3200,,0,0.11,N,2
2990,26,30000,RENT,2.0,DEBTCONSOLIDATION,B,3200,,0,0.11,N,3
2993,24,35000,MORTGAGE,2.0,MEDICAL,A,2950,,0,0.08,N,4
2999,24,29000,MORTGAGE,8.0,PERSONAL,B,1450,,1,0.05,N,4
3011,22,44568,RENT,3.0,PERSONAL,B,3200,,0,0.07,N,4
3021,25,48000,RENT,0.0,EDUCATION,F,3200,,1,0.07,Y,4
3049,22,10200,RENT,4.0,VENTURE,C,3250,,1,0.32,Y,2
3055,23,18000,RENT,1.0,PERSONAL,C,3250,,1,0.18,Y,4
3078,21,70000,RENT,3.0,PERSONAL,C,3300,,0,0.05,N,4
3085,24,77300,RENT,4.0,PERSONAL,A,3350,,0,0.04,N,3
3087,25,11000,RENT,3.0,MEDICAL,B,3400,,1,0.31,N,2
3090,25,35138,MORTGAGE,3.0,DEBTCONSOLIDATION,B,1000,,0,0.03,N,3
3096,24,60000,RENT,5.0,HOMEIMPROVEMENT,D,3400,,0,0.06,N,2
3112,22,17280,RENT,0.0,EDUCATION,D,3500,,1,0.2,Y,4
3120,24,35500,MORTGAGE,,DEBTCONSOLIDATION,A,14500,,0,0.41,N,3
3124,22,21600,RENT,2.0,MEDICAL,D,3500,,1,0.16,N,2
3140,22,28800,RENT,0.0,VENTURE,A,3500,,0,0.12,N,2
3147,26,30000,RENT,2.0,VENTURE,B,3500,,0,0.12,N,2
3148,21,30000,RENT,0.0,VENTURE,A,3500,,0,0.12,N,4
3166,22,36000,MORTGAGE,3.0,EDUCATION,A,5250,,0,0.15,N,4
3176,24,40000,RENT,0.0,VENTURE,B,3500,,0,0.09,N,2
3187,24,42000,RENT,1.0,PERSONAL,A,3500,,0,0.08,N,3
3188,26,36000,MORTGAGE,5.0,PERSONAL,A,4000,,0,0.11,N,3
3207,22,50000,RENT,2.0,VENTURE,B,3500,,0,0.07,N,3
3208,22,36000,MORTGAGE,0.0,EDUCATION,B,12375,,0,0.34,N,3
3211,23,36000,MORTGAGE,7.0,EDUCATION,B,11000,,0,0.31,N,3
3221,23,56000,RENT,7.0,DEBTCONSOLIDATION,C,3500,,0,0.06,Y,3
3234,22,36000,MORTGAGE,1.0,MEDICAL,A,3500,,0,0.1,N,2
3240,25,66660,RENT,0.0,EDUCATION,B,3500,,0,0.05,N,3
3253,25,83500,RENT,9.0,HOMEIMPROVEMENT,C,3500,,0,0.04,N,2
3263,26,45000,RENT,6.0,MEDICAL,A,3575,,0,0.08,N,2
3270,23,30000,MORTGAGE,7.0,HOMEIMPROVEMENT,A,2200,,1,0.07,N,3
3271,22,36000,MORTGAGE,0.0,PERSONAL,A,2000,,0,0.06,N,4
3274,22,18000,RENT,0.0,MEDICAL,B,3600,,1,0.2,N,3
3341,25,36000,MORTGAGE,3.0,VENTURE,B,5000,,0,0.14,N,4
3346,23,37440,RENT,0.0,VENTURE,B,11000,,0,0.29,N,2
3351,23,39500,RENT,7.0,MEDICAL,A,11000,,0,0.28,N,2
3385,22,50000,RENT,1.0,MEDICAL,A,11000,,0,0.22,N,2
3398,23,54996,RENT,2.0,MEDICAL,C,11000,,0,0.2,N,2
3415,23,81600,RENT,3.0,PERSONAL,B,11000,,0,0.13,N,3
3472,24,36996,MORTGAGE,7.0,PERSONAL,D,7800,,0,0.21,Y,3
3476,23,33600,RENT,2.0,DEBTCONSOLIDATION,C,10750,,1,0.32,Y,3
3482,25,54000,RENT,7.0,HOMEIMPROVEMENT,C,10700,,1,0.2,Y,2
3487,26,16800,RENT,,PERSONAL,B,10625,,1,0.63,N,3
3503,24,37000,MORTGAGE,4.0,MEDICAL,A,4000,,0,0.11,N,4
3514,24,37000,RENT,8.0,MEDICAL,D,10500,,0,0.28,N,2
3515,25,39204,RENT,3.0,PERSONAL,F,10500,,0,0.27,Y,4
3528,24,35004,RENT,9.0,PERSONAL,E,10400,,0,0.3,N,2
3539,23,51000,RENT,4.0,DEBTCONSOLIDATION,A,10400,,0,0.2,N,2
3556,22,35496,RENT,6.0,VENTURE,D,10200,,0,0.29,Y,3
3568,22,42492,RENT,6.0,DEBTCONSOLIDATION,B,3600,,1,0.08,N,3
3581,25,54000,RENT,1.0,PERSONAL,A,3600,,1,0.07,N,3
3605,23,110000,RENT,0.0,PERSONAL,A,3600,,0,0.03,N,3
3608,26,37820,MORTGAGE,3.0,HOMEIMPROVEMENT,A,6300,,0,0.17,N,4
3629,24,38000,OWN,2.0,EDUCATION,A,9600,,0,0.25,N,2
3635,26,38000,MORTGAGE,1.0,HOMEIMPROVEMENT,A,4000,,0,0.11,N,3
3642,26,38000,MORTGAGE,5.0,HOMEIMPROVEMENT,B,5000,,0,0.13,N,2
3645,24,14400,RENT,,MEDICAL,D,3825,,1,0.27,N,2
3674,26,14000,RENT,2.0,VENTURE,B,4000,,1,0.29,N,3
3694,24,18000,RENT,0.0,DEBTCONSOLIDATION,B,4000,,1,0.22,N,3
3705,25,19200,RENT,5.0,DEBTCONSOLIDATION,B,4000,,1,0.21,N,3
3710,25,38000,MORTGAGE,1.0,VENTURE,B,18800,,0,0.49,N,3
3728,23,24000,RENT,2.0,DEBTCONSOLIDATION,B,4000,,0,0.17,N,4
